status_checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,target
A12,29,A32,A47,2018,A62,A73,2,A93,A101,3,A121,49,A143,A152,2,A173,2,A191,A201,1
A12,10,A32,A45,9351,A63,A71,2,A93,A102,2,A124,28,A142,A152,2,A173,1,A191,A201,1
A12,17,A32,A44,1822,A65,A74,4,A94,A101,4,A121,64,A143,A153,2,A173,2,A191,A202,1
A13,10,A32,A45,3866,A65,A75,1,A92,A101,3,A124,44,A143,A152,1,A173,1,A191,A201,1
A11,12,A33,A44,2086,A61,A72,4,A94,A101,4,A121,40,A141,A152,4,A173,1,A191,A201,1
A12,51,A34,A47,5449,A61,A72,4,A92,A101,4,A123,30,A143,A152,1,A174,1,A191,A201,0
A12,62,A32,A40,1218,A61,A75,4,A93,A101,3,A121,50,A143,A152,2,A172,1,A192,A201,1
A12,42,A34,A410,5400,A62,A74,1,A92,A101,2,A121,45,A143,A152,1,A173,1,A192,A201,0
A13,21,A32,A46,3265,A61,A71,4,A93,A101,2,A124,51,A143,A151,1,A173,1,A191,A201,1
A11,62,A31,A49,1786,A63,A74,3,A93,A101,3,A124,71,A143,A152,1,A172,1,A191,A201,0
A12,20,A31,A49,2609,A61,A73,4,A93,A101,4,A122,70,A143,A152,2,A173,1,A192,A201,0
A13,17,A32,A410,10168,A62,A73,4,A93,A101,4,A123,38,A143,A151,1,A173,1,A191,A202,1
A11,34,A34,A41,3328,A61,A75,4,A92,A101,4,A123,57,A141,A153,1,A173,1,A191,A201,0
A13,27,A33,A48,1699,A63,A75,4,A91,A101,2,A124,59,A143,A153,2,A173,1,A191,A201,1
A11,63,A34,A40,1137,A61,A73,4,A93,A101,4,A122,58,A143,A153,2,A173,1,A191,A201,0
A11,48,A32,A410,4466,A61,A75,3,A92,A101,4,A123,31,A143,A151,1,A174,1,A191,A201,1
A14,6,A32,A49,3486,A61,A73,4,A92,A101,4,A122,32,A143,A153,2,A173,1,A192,A201,1
A14,40,A32,A45,5197,A63,A75,4,A93,A101,4,A122,62,A143,A153,1,A173,1,A191,A201,1
A13,46,A32,A48,925,A61,A73,3,A93,A101,4,A124,58,A143,A153,1,A172,1,A191,A201,1
A12,43,A32,A40,1167,A61,A75,2,A91,A101,4,A121,71,A143,A152,1,A174,1,A192,A201,1
A11,58,A31,A43,7461,A65,A75,4,A92,A101,4,A121,40,A143,A152,1,A173,2,A192,A201,0
A13,42,A32,A43,3885,A63,A72,3,A91,A101,1,A123,36,A143,A151,1,A173,1,A191,A201,1
A12,18,A32,A48,4567,A65,A75,4,A93,A101,4,A123,66,A143,A152,1,A173,1,A192,A201,1
A11,7,A34,A410,1380,A61,A75,4,A93,A101,2,A121,47,A143,A151,1,A173,2,A192,A201,1
A12,28,A34,A44,1359,A61,A75,2,A95,A101,1,A122,61,A142,A152,2,A174,2,A192,A201,0
A11,16,A34,A44,6588,A65,A72,4,A93,A101,4,A124,34,A143,A153,2,A174,2,A192,A201,1
A14,36,A33,A45,6841,A61,A75,2,A92,A101,4,A121,64,A143,A152,1,A174,1,A192,A202,1
A11,19,A32,A40,1248,A63,A75,3,A93,A101,1,A123,53,A143,A151,1,A173,1,A191,A201,1
A13,45,A33,A40,1071,A61,A73,4,A93,A101,3,A123,71,A143,A153,2,A173,1,A192,A201,1
A12,69,A34,A48,2732,A61,A75,3,A92,A101,2,A122,52,A143,A153,2,A172,1,A192,A201,0
A12,58,A32,A42,1572,A61,A71,4,A94,A101,4,A124,21,A143,A152,2,A172,1,A191,A201,1
A13,45,A32,A43,1546,A61,A72,4,A93,A101,4,A123,22,A142,A152,1,A172,1,A191,A201,1
A11,37,A34,A40,1095,A61,A73,4,A93,A101,4,A122,72,A143,A152,1,A173,2,A192,A201,0
A14,33,A32,A48,2049,A61,A74,1,A93,A101,4,A123,23,A143,A152,2,A174,1,A192,A202,1
A13,16,A32,A47,1183,A65,A74,2,A92,A101,3,A123,28,A141,A152,1,A174,1,A191,A201,1
A14,16,A32,A41,1241,A61,A71,4,A92,A101,4,A123,70,A143,A151,2,A173,1,A191,A201,1
A14,21,A32,A47,3784,A62,A75,4,A93,A101,3,A124,47,A143,A152,2,A173,1,A192,A201,1
A13,35,A32,A46,2852,A65,A71,4,A92,A101,4,A122,50,A143,A151,1,A173,1,A191,A201,1
A14,42,A32,A410,4393,A61,A72,4,A93,A101,4,A122,49,A143,A153,1,A173,1,A191,A201,1
A11,49,A30,A45,796,A61,A71,3,A93,A101,4,A121,20,A143,A152,2,A173,2,A191,A201,0
A11,32,A30,A40,3004,A63,A73,3,A93,A101,3,A121,30,A143,A152,1,A173,1,A191,A201,0
A11,65,A34,A46,15685,A62,A75,4,A93,A102,2,A121,45,A143,A152,1,A174,1,A192,A201,0
A12,65,A32,A49,2213,A63,A74,2,A93,A101,1,A124,23,A143,A151,2,A173,1,A191,A201,1
A12,60,A32,A46,5766,A64,A75,1,A93,A101,4,A123,55,A143,A153,2,A173,1,A191,A201,1
A12,19,A32,A48,5726,A65,A71,4,A93,A101,3,A123,45,A141,A153,1,A173,1,A191,A201,1
A14,59,A34,A40,5956,A61,A73,2,A92,A101,3,A123,41,A143,A152,1,A172,1,A191,A201,1
A12,13,A32,A41,3406,A61,A73,2,A92,A101,4,A124,51,A143,A151,2,A173,1,A192,A201,1
A12,33,A32,A410,4688,A62,A73,2,A92,A101,4,A122,22,A143,A152,3,A173,1,A191,A201,1
A13,28,A34,A48,5214,A61,A72,4,A92,A101,1,A124,39,A141,A152,2,A174,1,A191,A201,1
A11,8,A34,A48,4956,A65,A74,4,A92,A101,4,A122,42,A143,A153,3,A173,2,A191,A201,1
A13,68,A32,A45,1219,A61,A73,4,A92,A101,4,A124,62,A143,A151,1,A173,1,A191,A201,1
A11,52,A34,A45,760,A61,A75,4,A93,A103,4,A123,49,A143,A151,1,A173,1,A192,A201,0
A14,6,A32,A43,860,A65,A73,3,A93,A101,3,A121,62,A143,A152,1,A173,1,A191,A201,1
A13,48,A32,A43,2401,A61,A72,4,A92,A102,2,A123,66,A143,A152,1,A173,1,A192,A201,1
A11,17,A32,A44,4794,A61,A74,1,A93,A102,3,A123,42,A143,A151,1,A173,1,A191,A201,1
A11,33,A31,A42,1232,A61,A72,2,A93,A101,3,A121,67,A143,A152,1,A172,1,A191,A201,0
A14,71,A34,A40,6242,A65,A75,4,A92,A101,2,A123,71,A143,A152,2,A173,2,A192,A201,1
A13,21,A32,A40,1994,A61,A74,4,A94,A101,4,A122,28,A143,A152,2,A173,1,A192,A201,1
A13,65,A32,A46,2009,A65,A72,3,A93,A101,4,A121,67,A143,A152,1,A172,1,A192,A201,1
A13,40,A34,A40,1527,A61,A75,3,A93,A101,4,A124,67,A143,A152,1,A174,1,A191,A201,1
A11,28,A34,A40,659,A64,A73,4,A93,A101,1,A123,68,A143,A152,1,A173,1,A191,A201,0
A12,51,A32,A42,3581,A65,A72,1,A92,A101,4,A124,20,A143,A153,1,A172,1,A192,A201,0
A11,68,A32,A49,11732,A61,A74,2,A93,A101,4,A123,49,A143,A152,2,A172,2,A191,A201,1
A14,56,A32,A43,2835,A61,A73,2,A91,A101,4,A122,43,A143,A152,1,A174,1,A192,A201,1
A13,18,A34,A43,678,A61,A75,2,A93,A101,4,A123,22,A141,A153,1,A173,1,A192,A201,1
A12,52,A33,A41,5565,A63,A75,4,A93,A101,4,A123,69,A143,A152,1,A173,2,A192,A201,1
A11,71,A34,A40,812,A61,A75,2,A93,A101,4,A124,29,A143,A152,2,A172,1,A192,A201,0
A12,15,A31,A42,1133,A62,A73,2,A92,A101,3,A121,35,A143,A152,2,A174,2,A191,A201,0
A12,62,A31,A410,2463,A61,A73,4,A93,A101,4,A124,62,A143,A152,2,A173,1,A192,A201,0
A13,40,A32,A43,3288,A61,A75,4,A93,A101,1,A124,20,A143,A152,1,A173,1,A191,A201,1
A13,64,A32,A42,1330,A61,A72,2,A93,A101,1,A123,24,A141,A152,1,A174,1,A191,A201,1
A14,46,A32,A47,2387,A61,A73,2,A93,A101,2,A124,27,A143,A152,1,A172,1,A191,A201,1
A12,42,A34,A49,5282,A61,A73,3,A93,A101,1,A122,23,A141,A151,1,A173,1,A191,A201,0
A11,59,A32,A40,5894,A65,A72,4,A93,A101,2,A124,38,A143,A153,1,A172,1,A192,A201,1
A13,66,A32,A41,8112,A62,A73,4,A93,A101,2,A123,47,A141,A152,1,A173,1,A192,A201,1
A13,49,A34,A46,13732,A61,A75,4,A93,A101,1,A121,39,A141,A152,1,A173,1,A191,A201,1
A13,14,A32,A43,5698,A65,A75,4,A93,A101,4,A124,27,A141,A152,1,A174,1,A191,A201,1
A13,65,A34,A47,2506,A63,A72,4,A93,A101,1,A122,46,A143,A152,1,A173,1,A192,A201,1
A12,28,A31,A410,5928,A65,A72,4,A92,A101,4,A122,73,A143,A152,2,A173,1,A192,A201,0
A12,55,A32,A42,4330,A61,A73,4,A93,A101,2,A123,26,A143,A153,4,A174,1,A192,A201,1
A12,7,A30,A45,4469,A61,A75,1,A93,A101,4,A121,49,A141,A152,2,A174,1,A192,A201,0
A11,62,A31,A48,3435,A61,A72,4,A92,A101,4,A122,38,A143,A152,1,A173,1,A192,A201,0
A11,23,A34,A40,1437,A63,A74,3,A93,A103,4,A123,45,A143,A153,1,A173,1,A191,A201,1
A11,66,A32,A40,1309,A61,A72,2,A93,A101,4,A121,26,A143,A151,2,A172,2,A192,A201,0
A13,57,A32,A47,2758,A61,A74,4,A92,A101,1,A121,72,A143,A151,1,A171,1,A192,A201,1
A12,60,A32,A42,3358,A61,A73,3,A93,A101,4,A121,39,A142,A153,2,A173,1,A192,A201,1
A12,44,A32,A44,1730,A61,A75,4,A92,A101,4,A122,46,A143,A152,1,A172,2,A191,A202,1
A14,6,A34,A40,4182,A62,A73,4,A92,A101,4,A123,41,A143,A153,2,A173,2,A192,A201,1
A11,9,A30,A44,15750,A61,A74,4,A93,A101,4,A123,24,A141,A151,2,A171,1,A191,A201,0
A12,8,A33,A410,738,A61,A73,4,A92,A101,3,A124,21,A143,A151,2,A173,1,A191,A201,1
A13,8,A34,A45,4749,A62,A74,2,A92,A101,4,A123,23,A143,A151,2,A173,1,A192,A201,1
A11,57,A32,A47,2827,A65,A75,4,A93,A101,2,A121,27,A143,A152,1,A172,1,A191,A201,1
A11,50,A34,A42,4274,A63,A72,4,A92,A101,4,A124,25,A143,A152,1,A173,2,A191,A201,0
A12,52,A31,A42,2112,A65,A75,4,A95,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,0
A11,12,A32,A410,2652,A64,A74,4,A95,A101,4,A123,57,A143,A151,1,A173,1,A192,A201,1
A14,23,A32,A410,3306,A61,A72,3,A92,A101,2,A123,23,A143,A152,1,A173,1,A192,A201,1
A13,64,A34,A49,2341,A61,A73,4,A91,A103,2,A124,29,A143,A152,1,A173,1,A191,A201,0
A13,38,A34,A48,883,A62,A72,2,A93,A101,4,A123,33,A143,A151,2,A172,1,A192,A201,1
A14,53,A32,A43,2472,A62,A74,4,A93,A101,4,A122,52,A143,A153,1,A172,1,A191,A201,1
A13,65,A33,A43,959,A62,A75,3,A92,A101,4,A123,31,A141,A152,1,A172,1,A192,A201,1
A11,20,A32,A46,5026,A61,A72,4,A93,A101,2,A121,72,A143,A152,1,A173,1,A191,A201,1
A14,6,A32,A41,670,A61,A73,1,A91,A101,1,A122,66,A143,A152,1,A173,1,A192,A201,1
A12,35,A32,A47,6788,A61,A75,2,A93,A103,4,A122,25,A143,A152,1,A172,1,A191,A201,1
A13,16,A34,A45,4203,A61,A75,4,A92,A101,4,A121,58,A143,A152,3,A173,1,A192,A201,1
A14,71,A32,A42,4216,A61,A73,4,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,1
A12,17,A32,A48,527,A65,A75,4,A92,A101,4,A121,74,A141,A152,1,A174,2,A192,A201,1
A11,14,A32,A44,2291,A61,A73,4,A95,A101,4,A123,57,A141,A152,1,A173,1,A191,A201,1
A11,59,A32,A47,7501,A61,A73,4,A93,A101,3,A123,68,A141,A152,1,A173,1,A192,A201,1
A12,70,A32,A46,1968,A61,A75,4,A93,A101,4,A124,48,A143,A153,2,A173,1,A191,A201,1
A14,32,A32,A47,1258,A62,A73,2,A93,A103,4,A122,40,A143,A153,1,A174,1,A191,A201,1
A14,12,A34,A46,1791,A61,A73,4,A92,A101,3,A123,43,A143,A152,1,A174,1,A192,A201,1
A11,70,A32,A42,2822,A61,A73,2,A92,A101,4,A124,46,A143,A152,1,A173,1,A192,A201,1
A12,28,A32,A41,1508,A61,A75,4,A93,A101,4,A121,72,A143,A153,3,A173,1,A191,A201,1
A12,45,A32,A46,7998,A61,A75,4,A93,A101,3,A123,38,A143,A152,1,A173,1,A191,A201,1
A11,12,A34,A42,2830,A65,A73,4,A93,A102,2,A123,57,A143,A152,2,A173,1,A192,A201,0
A11,43,A34,A42,1911,A65,A73,4,A92,A101,1,A121,21,A143,A151,1,A173,1,A192,A201,0
A12,28,A31,A41,1052,A61,A73,4,A94,A101,4,A124,23,A143,A151,1,A173,1,A191,A201,0
A14,8,A33,A43,4392,A61,A74,4,A92,A101,2,A123,19,A143,A152,2,A174,1,A192,A201,1
A12,14,A32,A47,4312,A63,A73,2,A95,A101,2,A121,33,A143,A152,1,A173,1,A192,A201,1
A12,62,A31,A40,1581,A61,A75,4,A91,A101,4,A121,44,A143,A152,1,A173,1,A191,A201,0
A13,41,A32,A40,498,A61,A73,1,A93,A101,4,A121,21,A141,A152,1,A173,1,A191,A201,1
A12,8,A32,A44,4140,A61,A73,4,A92,A101,4,A122,58,A141,A152,1,A173,1,A192,A201,1
A14,51,A32,A410,2567,A65,A72,2,A93,A101,4,A122,75,A143,A152,2,A173,1,A192,A201,1
A14,21,A34,A44,3900,A61,A73,2,A93,A101,4,A123,59,A143,A151,1,A173,2,A192,A201,1
A11,40,A34,A410,14267,A61,A75,3,A93,A101,4,A121,65,A141,A152,2,A173,1,A191,A201,0
A12,63,A33,A40,2917,A63,A73,3,A93,A101,4,A124,60,A143,A152,1,A173,1,A191,A201,1
A12,51,A32,A45,1976,A61,A72,4,A93,A101,4,A122,52,A143,A152,1,A174,1,A191,A201,1
A12,31,A32,A40,1190,A61,A73,2,A93,A101,2,A121,70,A143,A151,2,A172,1,A192,A201,1
A11,72,A33,A44,2321,A65,A73,4,A93,A101,4,A122,23,A143,A153,1,A173,1,A191,A201,1
A13,43,A32,A48,3389,A61,A71,2,A92,A101,2,A123,49,A141,A153,1,A172,2,A191,A201,1
A12,48,A31,A44,3110,A62,A73,4,A93,A101,2,A122,69,A141,A152,1,A174,1,A191,A201,0
A11,65,A32,A45,11834,A61,A73,4,A93,A101,3,A121,31,A141,A152,1,A173,1,A191,A201,1
A12,61,A34,A47,4443,A61,A73,4,A93,A101,1,A121,61,A143,A152,2,A173,1,A191,A201,0
A14,70,A32,A410,2676,A61,A73,4,A93,A101,4,A123,19,A143,A152,1,A172,1,A191,A201,1
A11,59,A31,A40,1693,A61,A73,3,A92,A101,4,A124,40,A143,A152,1,A173,2,A192,A201,0
A11,43,A34,A41,3689,A61,A75,4,A92,A101,4,A122,33,A143,A152,2,A174,1,A191,A201,0
A12,43,A32,A48,1442,A65,A73,3,A92,A101,4,A122,44,A143,A151,1,A172,2,A191,A201,1
A14,36,A32,A42,3442,A61,A73,4,A92,A101,4,A123,36,A143,A152,1,A173,1,A191,A201,1
A11,9,A32,A45,4402,A61,A73,4,A93,A101,1,A123,66,A141,A152,1,A172,1,A191,A201,1
A13,22,A32,A44,2506,A61,A73,1,A93,A101,4,A122,27,A141,A152,2,A173,1,A191,A201,1
A13,43,A34,A410,1800,A64,A75,4,A94,A101,4,A124,19,A143,A152,2,A173,1,A191,A201,1
A11,62,A32,A41,518,A61,A72,4,A93,A103,3,A123,61,A143,A152,2,A173,2,A191,A201,1
A13,62,A32,A46,7443,A61,A74,3,A92,A101,4,A122,27,A141,A152,1,A173,1,A192,A201,1
A12,51,A34,A43,4116,A61,A71,2,A93,A101,2,A123,41,A143,A152,2,A173,1,A191,A201,0
A13,44,A34,A40,4196,A61,A73,2,A93,A101,2,A124,61,A143,A152,1,A173,1,A191,A201,0
A13,16,A34,A43,854,A61,A75,4,A93,A101,2,A123,63,A143,A153,1,A173,2,A192,A201,1
A12,48,A32,A45,8990,A65,A73,4,A93,A101,3,A121,20,A141,A151,2,A172,2,A191,A201,1
A11,56,A32,A46,2054,A61,A73,2,A95,A101,4,A122,32,A141,A152,1,A173,1,A192,A201,1
A14,45,A34,A46,2366,A61,A72,3,A93,A101,4,A122,56,A141,A152,1,A173,1,A191,A201,1
A12,66,A34,A46,1267,A61,A75,4,A93,A101,3,A122,58,A143,A152,2,A172,1,A191,A201,0
A11,30,A30,A42,713,A65,A71,4,A92,A101,4,A123,36,A143,A152,2,A172,1,A191,A201,0
A11,41,A31,A45,7524,A61,A75,1,A92,A101,4,A123,34,A143,A152,1,A172,1,A192,A201,0
A13,63,A32,A47,8343,A61,A72,2,A93,A102,2,A123,71,A143,A152,1,A174,1,A191,A201,1
A13,10,A34,A43,2611,A61,A75,4,A93,A101,2,A124,47,A143,A152,1,A173,1,A191,A201,1
A11,8,A32,A47,1731,A61,A73,1,A93,A101,4,A121,62,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A41,2204,A61,A74,2,A95,A101,4,A124,29,A143,A152,1,A173,1,A191,A201,1
A11,61,A32,A49,2253,A61,A73,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A192,A201,0
A13,34,A33,A48,1141,A61,A75,4,A91,A101,3,A122,21,A143,A152,3,A173,1,A191,A201,1
A11,26,A34,A48,2359,A61,A72,2,A93,A101,4,A123,32,A143,A151,1,A173,1,A192,A201,0
A13,45,A32,A47,3369,A61,A72,2,A93,A101,2,A121,20,A143,A152,1,A173,1,A191,A201,1
A12,13,A34,A49,6731,A61,A73,1,A92,A101,2,A123,50,A143,A152,1,A174,1,A192,A201,0
A14,35,A34,A49,3015,A61,A72,2,A93,A101,4,A123,49,A141,A152,1,A173,1,A191,A201,1
A11,56,A32,A40,844,A64,A72,4,A93,A101,3,A122,29,A143,A152,1,A172,1,A192,A201,1
A12,33,A32,A41,3955,A65,A75,3,A93,A101,2,A123,40,A141,A151,2,A173,1,A191,A201,1
A11,42,A32,A45,2429,A65,A75,4,A93,A102,2,A123,21,A143,A152,2,A173,1,A192,A201,1
A14,34,A34,A49,8922,A65,A73,4,A92,A101,1,A121,68,A142,A152,1,A174,1,A192,A201,1
A14,5,A32,A44,9354,A62,A75,3,A95,A101,4,A121,49,A143,A153,2,A173,1,A191,A201,1
A11,15,A33,A48,9619,A63,A73,2,A93,A101,4,A122,51,A143,A153,1,A173,1,A192,A201,1
A13,42,A34,A44,1902,A61,A73,4,A93,A101,1,A123,42,A143,A153,1,A173,1,A192,A201,0
A14,69,A32,A41,14645,A62,A74,4,A92,A101,2,A124,19,A143,A152,1,A173,1,A192,A201,1
A13,16,A34,A49,3947,A61,A74,4,A93,A101,1,A124,62,A143,A152,2,A173,1,A191,A201,1
A12,49,A32,A43,10950,A61,A75,2,A92,A103,4,A123,33,A143,A151,1,A174,1,A191,A201,1
A11,30,A32,A48,1994,A64,A73,4,A92,A102,1,A123,55,A141,A152,1,A173,2,A192,A201,1
A11,20,A33,A40,2347,A61,A74,4,A93,A101,4,A122,45,A143,A151,2,A173,1,A191,A201,1
A14,63,A34,A410,3711,A61,A71,4,A92,A101,1,A123,56,A141,A152,1,A174,1,A191,A201,0
A14,67,A32,A40,3366,A65,A72,2,A93,A101,2,A121,66,A142,A152,1,A171,1,A192,A201,1
A13,38,A34,A46,8134,A61,A71,4,A92,A101,4,A122,45,A141,A152,1,A172,1,A191,A201,0
A12,33,A34,A410,2475,A61,A75,4,A93,A101,4,A123,62,A143,A151,2,A173,2,A191,A201,0
A12,66,A32,A42,7568,A65,A75,3,A92,A101,1,A121,30,A143,A152,1,A172,1,A191,A201,1
A13,31,A34,A49,5355,A62,A75,4,A91,A103,4,A123,21,A143,A152,1,A174,1,A192,A202,0
A14,63,A32,A41,2513,A61,A73,2,A92,A101,4,A123,48,A143,A152,2,A173,1,A192,A201,1
A14,40,A32,A48,5032,A61,A73,2,A94,A101,4,A122,50,A143,A152,1,A173,1,A192,A202,1
A13,25,A32,A42,2041,A61,A72,3,A93,A101,4,A122,41,A143,A151,1,A172,1,A192,A201,1
A13,71,A34,A41,19538,A65,A73,4,A92,A103,4,A124,20,A143,A152,2,A173,1,A191,A201,1
A11,23,A33,A47,353,A61,A73,3,A93,A101,4,A123,25,A142,A152,2,A173,1,A191,A201,1
A11,71,A32,A49,5106,A61,A75,4,A93,A101,2,A122,52,A143,A152,2,A173,1,A191,A201,1
A14,67,A32,A45,726,A61,A73,4,A95,A101,4,A122,50,A142,A152,1,A173,1,A191,A201,1
A13,20,A32,A45,2488,A61,A72,2,A93,A101,4,A123,71,A143,A152,1,A173,1,A191,A201,1
A11,15,A31,A49,2783,A65,A71,4,A93,A101,1,A123,57,A143,A153,2,A173,1,A192,A201,1
A11,25,A34,A410,9957,A61,A72,4,A92,A101,1,A121,50,A143,A152,2,A173,1,A192,A201,0
A13,20,A34,A46,1713,A62,A73,4,A93,A101,1,A122,61,A141,A152,1,A173,1,A191,A201,1
A11,13,A32,A46,8488,A61,A75,4,A95,A101,4,A124,61,A143,A152,1,A173,1,A192,A201,1
A11,68,A34,A410,1160,A62,A74,4,A93,A101,4,A123,32,A141,A152,1,A172,1,A192,A201,0
A13,25,A32,A45,8754,A65,A75,2,A92,A101,4,A124,21,A143,A152,1,A173,2,A192,A201,1
A13,53,A34,A43,2039,A61,A73,4,A92,A101,1,A123,64,A143,A152,2,A171,1,A191,A201,0
A13,17,A33,A410,3161,A61,A73,2,A93,A101,4,A124,50,A143,A152,1,A173,1,A191,A201,1
A11,67,A33,A48,2277,A61,A72,4,A93,A103,4,A121,61,A141,A151,1,A173,1,A191,A201,1
A13,50,A32,A45,8315,A64,A75,2,A93,A101,3,A123,54,A143,A152,1,A172,1,A191,A201,1
A11,32,A34,A43,7116,A61,A75,4,A94,A101,4,A121,35,A141,A152,1,A174,1,A191,A201,0
A12,39,A32,A42,4250,A65,A72,4,A91,A101,4,A123,66,A142,A152,1,A173,1,A192,A201,1
A13,55,A32,A43,1186,A62,A73,4,A92,A101,4,A122,21,A143,A152,2,A174,1,A191,A201,1
A13,10,A30,A42,1682,A65,A73,2,A94,A101,4,A122,75,A143,A152,1,A172,1,A191,A201,1
A14,32,A32,A41,1309,A62,A74,4,A92,A101,4,A124,28,A143,A153,1,A174,1,A191,A201,1
A13,14,A32,A44,493,A61,A75,4,A92,A101,3,A124,71,A141,A153,1,A172,1,A192,A201,1
A13,36,A34,A41,8176,A61,A74,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1
A11,9,A34,A45,2293,A61,A73,2,A93,A101,2,A123,58,A143,A153,3,A174,1,A191,A201,0
A12,35,A31,A42,2273,A65,A71,4,A92,A101,2,A122,36,A143,A151,2,A173,1,A192,A201,0
A11,54,A34,A45,9866,A64,A72,4,A94,A101,1,A122,21,A143,A153,2,A172,1,A191,A201,0
A11,61,A32,A410,2036,A62,A72,2,A93,A101,4,A123,57,A143,A152,1,A173,1,A192,A201,1
A14,29,A34,A49,1521,A61,A71,4,A92,A101,3,A122,28,A141,A152,1,A173,1,A191,A201,1
A12,49,A34,A48,2490,A61,A75,4,A93,A102,2,A124,70,A143,A152,3,A173,2,A191,A202,0
A14,32,A32,A40,1204,A64,A74,4,A93,A101,2,A121,27,A143,A152,1,A172,1,A191,A201,1
A13,7,A34,A45,3926,A61,A72,3,A93,A101,4,A123,64,A141,A152,1,A173,1,A192,A201,1
A13,16,A32,A48,2210,A61,A75,4,A93,A101,4,A123,73,A143,A153,2,A172,1,A192,A201,1
A12,42,A32,A410,1986,A62,A72,4,A95,A101,4,A121,64,A141,A153,2,A174,1,A191,A201,1
A13,18,A34,A43,1853,A61,A73,3,A92,A101,4,A122,29,A143,A151,1,A173,1,A191,A201,0
A12,32,A32,A410,2738,A61,A73,4,A93,A101,4,A123,51,A143,A151,3,A173,1,A191,A201,1
A11,32,A32,A41,3186,A61,A73,4,A93,A101,3,A123,54,A141,A152,1,A173,1,A192,A201,0
A13,35,A32,A43,1966,A61,A73,4,A93,A103,4,A122,44,A141,A152,1,A174,1,A191,A201,1
A12,5,A34,A40,2237,A65,A73,2,A93,A101,1,A123,45,A141,A151,1,A173,2,A191,A201,1
A11,50,A32,A42,2792,A61,A73,4,A92,A101,3,A121,56,A143,A152,1,A174,1,A191,A201,0
A13,25,A32,A49,2576,A61,A75,4,A93,A101,3,A121,40,A143,A152,2,A173,1,A191,A201,1
A11,30,A34,A48,3055,A61,A71,2,A93,A101,4,A122,44,A141,A152,1,A173,1,A192,A201,0
A14,70,A34,A49,1734,A64,A72,2,A92,A101,3,A121,40,A142,A152,1,A173,1,A192,A201,1
A14,59,A32,A44,6658,A61,A71,4,A93,A101,4,A124,23,A143,A152,1,A172,1,A191,A201,1
A14,24,A32,A410,3221,A61,A74,4,A93,A101,2,A123,53,A142,A151,1,A173,1,A191,A201,1
A12,50,A32,A45,1992,A61,A71,3,A93,A101,4,A124,20,A143,A153,1,A172,1,A191,A201,1
A11,62,A32,A42,3926,A61,A75,4,A92,A101,2,A123,53,A143,A152,3,A173,2,A191,A201,1
A14,9,A32,A44,2808,A61,A73,2,A93,A101,2,A124,27,A143,A152,1,A173,1,A192,A201,1
