Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000149,Male,Yes,1,Graduate,No,5983,136,137.0,,1.0,Semiurban,Y
LP000150,Male,No,1,Graduate,No,8557,1687,85.0,360.0,1.0,Urban,Y
LP000151,Female,Yes,0,Graduate,No,2674,199,130.0,,1.0,Semiurban,Y
LP000152,Male,Yes,1,Graduate,No,5174,269,204.0,360.0,1.0,Urban,Y
LP000153,Male,No,0,Graduate,No,2820,114,153.0,240.0,1.0,Urban,Y
LP000154,Male,No,0,Graduate,No,5728,364,103.0,180.0,1.0,Semiurban,Y
LP000155,Female,Yes,3+,Not Graduate,No,2872,2143,134.0,360.0,1.0,Semiurban,N
LP000156,Male,No,0,Graduate,No,3847,1234,110.0,360.0,1.0,Urban,Y
LP000157,Male,Yes,2,Graduate,No,2704,2151,,360.0,1.0,Rural,Y
LP000158,Male,No,0,Graduate,No,7263,1244,106.0,,1.0,Urban,Y
LP000159,Male,,2,Graduate,No,8226,176,113.0,360.0,1.0,Semiurban,Y
LP000160,Male,Yes,0,Graduate,No,4269,447,132.0,360.0,1.0,Rural,Y
LP000161,Male,No,3+,Not Graduate,No,5028,260,81.0,360.0,1.0,Semiurban,Y
LP000162,Male,Yes,1,Graduate,No,2060,3283,80.0,360.0,1.0,Urban,Y
LP000163,Male,Yes,,Graduate,No,4105,158,69.0,480.0,1.0,Urban,Y
LP000164,,No,0,Graduate,No,4768,1943,64.0,360.0,,Rural,N
LP000165,Male,,0,Graduate,No,23682,1942,74.0,180.0,1.0,Rural,Y
LP000166,Female,Yes,1,Graduate,Yes,2522,5976,129.0,360.0,1.0,Urban,Y
LP000167,Male,No,0,Graduate,No,11831,406,85.0,360.0,1.0,Semiurban,Y
LP000168,Male,Yes,2,Graduate,Yes,8938,1563,149.0,360.0,1.0,Semiurban,Y
LP000169,Male,Yes,1,Graduate,No,5816,10280,123.0,360.0,1.0,Semiurban,Y
LP000170,Male,Yes,0,Graduate,Yes,14117,316,55.0,360.0,1.0,Semiurban,Y
LP000171,Male,Yes,1,Not Graduate,No,6144,105,157.0,360.0,1.0,Semiurban,Y
LP000172,Male,No,2,Graduate,No,6207,69,168.0,120.0,1.0,Rural,Y
LP000173,Male,,0,Graduate,No,4760,1564,81.0,360.0,1.0,Semiurban,Y
LP000174,Male,Yes,0,Graduate,No,10240,69,143.0,360.0,1.0,Urban,Y
LP000175,Male,Yes,0,Graduate,No,9488,425,86.0,480.0,1.0,Rural,Y
LP000176,Male,No,2,Not Graduate,No,3376,1124,126.0,360.0,1.0,Urban,Y
LP000177,Male,Yes,,Graduate,No,2227,830,73.0,,1.0,Rural,Y
LP000178,Male,Yes,1,Graduate,,4351,1108,59.0,360.0,1.0,Urban,Y
LP000179,Female,Yes,2,Not Graduate,No,3041,868,104.0,180.0,1.0,Semiurban,Y
LP000180,Male,Yes,2,Graduate,No,4730,3086,115.0,120.0,,Urban,N
LP000181,Male,Yes,1,Not Graduate,Yes,10326,212,103.0,120.0,1.0,Urban,Y
LP000182,Male,No,3+,Graduate,No,3735,295,75.0,360.0,1.0,Rural,Y
LP000183,Female,No,0,Graduate,Yes,4790,263,,180.0,1.0,Urban,Y
LP000184,Female,Yes,0,Graduate,No,5088,1801,135.0,360.0,1.0,Urban,Y
LP000185,Male,No,0,Graduate,No,8176,1959,,360.0,1.0,Urban,Y
LP000186,Male,No,0,Not Graduate,No,1276,1143,130.0,360.0,1.0,Rural,Y
LP000187,Female,No,1,Graduate,No,3415,2752,92.0,360.0,1.0,Rural,Y
LP000188,Male,Yes,3+,Graduate,No,5579,161,194.0,120.0,1.0,Semiurban,Y
LP000189,Male,Yes,0,Graduate,No,10097,4918,75.0,300.0,1.0,Semiurban,Y
LP000190,Male,Yes,0,Graduate,No,3658,4137,,360.0,,Rural,N
LP000191,Male,Yes,1,Graduate,Yes,1594,1607,194.0,360.0,1.0,Urban,Y
LP000192,Female,No,,Not Graduate,No,7128,5642,147.0,360.0,1.0,Urban,Y
LP000193,Female,No,0,Graduate,No,3356,91,112.0,180.0,1.0,Semiurban,Y
LP000194,Male,No,1,Graduate,No,2407,354,98.0,360.0,0.0,Urban,N
LP000195,Male,Yes,0,Graduate,No,3379,275,183.0,360.0,1.0,Urban,Y
LP000196,Male,Yes,0,Graduate,No,4399,1580,68.0,360.0,1.0,Semiurban,Y
LP000197,,No,3+,Graduate,No,3419,188,82.0,,1.0,Rural,Y
LP000198,Female,No,3+,Graduate,No,1308,1650,,360.0,1.0,Urban,Y
LP000199,Female,Yes,0,Not Graduate,No,8418,3444,,300.0,,Urban,N
LP000200,Male,No,3+,Graduate,No,10561,1531,,360.0,1.0,Semiurban,Y
LP000201,Male,No,1,Graduate,No,7265,934,82.0,360.0,1.0,Semiurban,Y
LP000202,,Yes,3+,Graduate,No,2483,203,107.0,360.0,,Semiurban,N
LP000203,Male,,1,Not Graduate,No,4355,240,95.0,360.0,1.0,Rural,N
LP000204,Female,Yes,1,Graduate,No,4895,2979,91.0,120.0,1.0,Rural,Y
LP000205,Male,Yes,,Graduate,No,7039,1694,179.0,360.0,1.0,Semiurban,Y
LP000206,Male,Yes,2,Graduate,Yes,7339,634,70.0,360.0,1.0,Semiurban,Y
LP000207,Male,No,0,Graduate,No,3163,402,231.0,360.0,1.0,Urban,Y
LP000208,Male,Yes,0,Graduate,No,5162,58,169.0,360.0,1.0,Semiurban,Y
LP000209,Male,Yes,0,Graduate,No,6466,184,187.0,,1.0,Urban,Y
LP000210,Male,Yes,2,Graduate,No,11772,6592,100.0,360.0,1.0,Urban,Y
LP000211,Male,Yes,0,Graduate,No,7500,143,114.0,360.0,1.0,Semiurban,Y
LP000212,Male,No,2,Not Graduate,,7890,834,68.0,360.0,1.0,Rural,Y
LP000213,Male,Yes,3+,Not Graduate,,5168,2228,98.0,360.0,1.0,Semiurban,Y
LP000214,Male,Yes,0,Graduate,No,11456,147,148.0,360.0,1.0,Urban,Y
LP000215,Male,No,2,Graduate,No,6284,830,204.0,360.0,1.0,Rural,Y
LP000216,Male,Yes,1,Graduate,No,2931,2049,78.0,360.0,1.0,Semiurban,Y
LP000217,Male,Yes,3+,Graduate,No,11407,675,104.0,240.0,1.0,Semiurban,Y
LP000218,Male,Yes,0,Graduate,No,7470,20787,114.0,240.0,1.0,Urban,Y
LP000219,Male,Yes,2,Graduate,Yes,3767,89,69.0,360.0,1.0,Urban,Y
LP000220,,Yes,2,Graduate,,3686,2369,153.0,360.0,1.0,Semiurban,Y
LP000221,Male,,3+,Not Graduate,No,5871,540,90.0,360.0,1.0,Urban,Y
LP000222,Male,Yes,2,Graduate,,6489,1679,112.0,360.0,1.0,Semiurban,Y
LP000223,Male,No,1,Graduate,No,5532,1129,101.0,180.0,1.0,Semiurban,Y
LP000224,Male,Yes,1,Not Graduate,No,5924,275,88.0,360.0,,Urban,N
LP000225,Male,Yes,3+,Graduate,No,13629,875,121.0,360.0,1.0,Urban,Y
LP000226,Male,Yes,1,Graduate,No,9348,71,111.0,180.0,1.0,Urban,Y
LP000227,Female,Yes,0,Graduate,No,5510,1371,104.0,240.0,1.0,Semiurban,Y
LP000228,Male,No,3+,Graduate,No,8645,951,,360.0,0.0,Urban,N
LP000229,Female,Yes,2,Graduate,No,2645,1431,138.0,,1.0,Rural,Y
LP000230,Male,No,2,Graduate,No,6240,2367,235.0,360.0,1.0,Rural,Y
LP000231,Male,Yes,0,Graduate,,14553,1033,128.0,360.0,1.0,Semiurban,Y
LP000232,Male,Yes,2,Not Graduate,No,4312,794,180.0,300.0,0.0,Urban,N
LP000233,Male,Yes,0,Not Graduate,No,2955,231,69.0,180.0,1.0,Urban,Y
LP000234,Male,,2,Not Graduate,No,3323,282,129.0,360.0,1.0,Semiurban,Y
LP000235,Male,Yes,0,Graduate,No,2556,2763,78.0,,0.0,Semiurban,N
LP000236,Male,Yes,2,Graduate,No,3069,3727,67.0,180.0,0.0,Semiurban,N
LP000237,Male,Yes,3+,Not Graduate,No,3935,499,90.0,360.0,0.0,Urban,N
LP000238,Male,No,0,Graduate,No,2114,702,195.0,360.0,1.0,Urban,Y
LP000239,Male,Yes,3+,Graduate,Yes,4961,224,177.0,360.0,1.0,Semiurban,Y
LP000240,Male,No,1,Graduate,No,8445,2717,133.0,360.0,1.0,Urban,Y
LP000241,Female,Yes,3+,Graduate,No,2850,1478,65.0,360.0,1.0,Semiurban,Y
LP000242,Female,Yes,2,Not Graduate,No,12229,6832,112.0,360.0,1.0,Semiurban,Y
LP000243,Female,Yes,1,Graduate,No,6677,231,137.0,360.0,1.0,Urban,Y
LP000244,Male,Yes,2,Graduate,No,9121,422,130.0,360.0,1.0,Semiurban,Y
LP000245,Male,Yes,3+,Graduate,No,3311,878,58.0,360.0,1.0,Semiurban,Y
LP000246,Female,Yes,1,Graduate,,8206,1444,85.0,360.0,1.0,Urban,Y
LP000247,Male,No,0,Not Graduate,No,2552,513,118.0,360.0,1.0,Rural,Y
LP000248,Female,Yes,2,Graduate,No,8384,233,150.0,180.0,1.0,Urban,Y
LP000249,Female,Yes,2,Graduate,No,5448,1915,50.0,360.0,1.0,Rural,Y
LP000250,Female,Yes,2,Not Graduate,No,6849,1580,113.0,360.0,1.0,Urban,Y
LP000251,Male,Yes,2,Graduate,No,2427,221,128.0,360.0,1.0,Semiurban,Y
LP000252,Male,Yes,1,Graduate,No,2872,3383,170.0,180.0,1.0,Semiurban,Y
LP000253,Female,Yes,2,Graduate,No,7032,2708,160.0,360.0,1.0,Rural,Y
LP000254,Male,Yes,0,Not Graduate,No,2782,781,153.0,360.0,1.0,Urban,Y
LP000255,Male,No,1,Graduate,,6489,731,88.0,360.0,1.0,Semiurban,Y
LP000256,Male,No,0,Graduate,No,2164,1293,56.0,360.0,1.0,Urban,Y
LP000257,Female,Yes,0,Not Graduate,No,8175,236,103.0,360.0,1.0,Semiurban,Y
LP000258,,Yes,0,Graduate,No,2346,689,181.0,360.0,0.0,Rural,N
LP000259,Male,Yes,0,Not Graduate,No,6845,50,212.0,360.0,1.0,Urban,Y
LP000260,Male,Yes,2,Graduate,No,7153,1904,161.0,360.0,,Urban,Y
LP000261,Male,Yes,0,Graduate,No,3235,102,144.0,360.0,0.0,Semiurban,N
LP000262,Female,Yes,1,Graduate,Yes,6968,4040,141.0,360.0,1.0,Urban,Y
LP000263,Male,No,0,Not Graduate,No,5746,447,,360.0,,Semiurban,N
LP000264,Male,No,0,Graduate,No,3557,515,115.0,,1.0,Urban,Y
LP000265,Female,Yes,0,Not Graduate,Yes,2683,313,236.0,360.0,1.0,Urban,Y
LP000266,Male,Yes,0,Not Graduate,No,1513,470,83.0,360.0,1.0,Rural,Y
LP000267,Male,Yes,1,Graduate,No,6061,3649,231.0,360.0,1.0,Semiurban,Y
LP000268,Male,No,2,Not Graduate,No,1921,33,106.0,240.0,,Semiurban,N
LP000269,Male,Yes,1,Graduate,No,5204,3078,206.0,120.0,1.0,Urban,Y
LP000270,Male,Yes,1,Graduate,No,4196,997,69.0,360.0,1.0,Urban,Y
LP000271,Female,No,0,Graduate,No,7387,156,153.0,360.0,1.0,Urban,Y
LP000272,Female,Yes,3+,Not Graduate,No,4100,183,90.0,360.0,1.0,Rural,N
LP000273,Female,No,1,Graduate,No,4033,4972,68.0,180.0,1.0,Rural,Y
LP000274,Female,Yes,1,Graduate,No,7624,213,132.0,360.0,1.0,Semiurban,Y
LP000275,Male,Yes,0,Graduate,No,6009,166,181.0,360.0,0.0,Semiurban,N
LP000276,Male,Yes,0,Graduate,No,5941,2603,86.0,360.0,1.0,Rural,Y
LP000277,Male,No,0,Graduate,No,6513,998,66.0,360.0,1.0,Rural,Y
LP000278,Male,No,0,Not Graduate,Yes,1955,215,117.0,180.0,1.0,Semiurban,Y
LP000279,Male,No,1,Not Graduate,Yes,7739,862,117.0,360.0,1.0,Semiurban,Y
LP000280,,Yes,1,Graduate,No,7097,194,151.0,360.0,1.0,Urban,Y
LP000281,Female,No,1,Not Graduate,Yes,2670,2492,177.0,240.0,1.0,Urban,Y
LP000282,Male,Yes,2,Graduate,No,4245,2377,118.0,360.0,1.0,Rural,Y
LP000283,Male,Yes,2,Not Graduate,Yes,4800,1259,255.0,360.0,0.0,Urban,N
LP000284,Male,No,2,Graduate,No,4533,1026,132.0,360.0,1.0,Urban,Y
LP000285,Male,Yes,3+,Graduate,No,6004,5505,105.0,120.0,,Urban,N
LP000286,Male,Yes,0,Graduate,No,11600,664,63.0,360.0,1.0,Semiurban,Y
LP000287,Male,Yes,0,Not Graduate,No,9405,161,109.0,360.0,1.0,Urban,Y
LP000288,Male,Yes,0,Graduate,No,2236,1140,106.0,360.0,1.0,Urban,Y
LP000289,Male,Yes,1,Graduate,No,7138,8129,178.0,360.0,,Urban,Y
LP000290,Male,Yes,3+,Graduate,No,10909,196,146.0,360.0,1.0,Semiurban,Y
LP000291,Male,Yes,0,Graduate,No,6198,431,75.0,360.0,0.0,Semiurban,N
LP000292,Male,No,3+,Graduate,No,9457,1096,130.0,360.0,0.0,Rural,Y
LP000293,Female,No,0,Graduate,No,16438,623,158.0,,1.0,Rural,Y
LP000294,Male,Yes,3+,Not Graduate,No,9083,204,223.0,360.0,1.0,Semiurban,Y
LP000295,Male,Yes,0,Graduate,No,5707,2556,173.0,360.0,1.0,Urban,Y
LP000296,Male,Yes,0,Graduate,No,9200,10764,164.0,360.0,1.0,Urban,Y
LP000297,Male,Yes,1,Graduate,No,5361,841,124.0,360.0,1.0,Urban,Y
LP000298,Male,Yes,0,Not Graduate,No,4985,224,141.0,,1.0,Urban,Y
LP000299,Male,Yes,0,Not Graduate,Yes,3980,103,200.0,360.0,1.0,Urban,Y
LP000300,,Yes,0,Graduate,No,12557,906,71.0,360.0,1.0,Semiurban,Y
LP000301,Male,,2,Graduate,,3007,2501,105.0,360.0,1.0,Semiurban,Y
LP000302,Male,Yes,1,Graduate,Yes,12325,1176,89.0,360.0,1.0,Rural,Y
LP000303,Male,Yes,0,Graduate,No,6633,663,141.0,360.0,1.0,Semiurban,Y
LP000304,Male,No,1,Not Graduate,No,2122,327,198.0,360.0,1.0,Urban,Y
